2015-04-28 13:57:14 - PHP Notice:  Undefined index: quantity in C:\xampp\htdocs\opencart\catalog\controller\api\cart.php on line 21
2015-04-29 9:59:24 - PHP Warning:  Illegal string offset 'value' in C:\xampp\htdocs\opencart\catalog\controller\checkout\confirm.php on line 344
2015-04-29 9:59:24 - PHP Warning:  Illegal string offset 'name' in C:\xampp\htdocs\opencart\catalog\controller\checkout\confirm.php on line 356
2015-04-29 11:28:31 - PHP Notice:  Undefined index: total in C:\xampp\htdocs\opencart\catalog\model\checkout\order.php on line 65
2015-04-29 11:31:25 - PHP Notice:  Undefined index: quantity in C:\xampp\htdocs\opencart\catalog\model\checkout\order.php on line 65
2015-04-29 11:31:25 - PHP Notice:  Undefined index: price in C:\xampp\htdocs\opencart\catalog\model\checkout\order.php on line 65
2015-04-29 11:31:25 - PHP Notice:  Undefined index: total in C:\xampp\htdocs\opencart\catalog\model\checkout\order.php on line 65
2015-04-29 12:02:05 - PHP Notice:  Undefined index: quantity in C:\xampp\htdocs\opencart\catalog\model\checkout\order.php on line 65
2015-04-29 15:41:37 - PHP Notice:  Undefined variable: download_data in C:\xampp\htdocs\opencart\system\library\cart.php on line 108
2015-04-29 15:41:37 - PHP Notice:  Undefined variable: reward in C:\xampp\htdocs\opencart\system\library\cart.php on line 115
2015-04-29 15:42:12 - PHP Notice:  Undefined index: download in C:\xampp\htdocs\opencart\catalog\controller\api\order.php on line 516
2015-04-29 15:42:12 - PHP Notice:  Undefined index: reward in C:\xampp\htdocs\opencart\catalog\controller\api\order.php on line 522
2015-04-29 15:42:43 - PHP Notice:  Undefined index: reward in C:\xampp\htdocs\opencart\catalog\model\checkout\order.php on line 65
2015-04-29 15:43:16 - PHP Notice:  Undefined index: reward in C:\xampp\htdocs\opencart\catalog\controller\checkout\cart.php on line 166
2015-04-29 15:43:50 - PHP Notice:  Undefined index: reward in C:\xampp\htdocs\opencart\catalog\view\theme\default\template\checkout\cart.tpl on line 67
2015-04-29 15:43:55 - PHP Notice:  Undefined index: reward in C:\xampp\htdocs\opencart\catalog\view\theme\default\template\checkout\cart.tpl on line 67
2015-04-29 15:44:51 - PHP Notice:  Undefined index: download in C:\xampp\htdocs\opencart\catalog\controller\checkout\confirm.php on line 224
2015-04-29 15:44:51 - PHP Notice:  Undefined index: reward in C:\xampp\htdocs\opencart\catalog\controller\checkout\confirm.php on line 230
2015-04-29 15:45:27 - PHP Notice:  Undefined index: reward in C:\xampp\htdocs\opencart\catalog\model\checkout\order.php on line 13
2015-04-29 15:46:40 - PHP Notice:  Undefined index: reward in C:\xampp\htdocs\opencart\catalog\model\checkout\order.php on line 13
2015-04-29 15:47:04 - PHP Notice:  Undefined index: reward in C:\xampp\htdocs\opencart\catalog\model\checkout\order.php on line 13
2015-04-30 8:08:39 - PHP Notice:  Undefined variable: sku in C:\xampp\htdocs\opencart\admin\view\template\catalog\room_form.tpl on line 118
2015-04-30 8:08:39 - PHP Notice:  Undefined variable: upc in C:\xampp\htdocs\opencart\admin\view\template\catalog\room_form.tpl on line 124
2015-04-30 8:08:39 - PHP Notice:  Undefined variable: ean in C:\xampp\htdocs\opencart\admin\view\template\catalog\room_form.tpl on line 130
2015-04-30 8:08:39 - PHP Notice:  Undefined variable: jan in C:\xampp\htdocs\opencart\admin\view\template\catalog\room_form.tpl on line 136
2015-04-30 8:08:39 - PHP Notice:  Undefined variable: isbn in C:\xampp\htdocs\opencart\admin\view\template\catalog\room_form.tpl on line 142
2015-04-30 8:08:39 - PHP Notice:  Undefined variable: mpn in C:\xampp\htdocs\opencart\admin\view\template\catalog\room_form.tpl on line 148
2015-04-30 8:08:39 - PHP Notice:  Undefined variable: location in C:\xampp\htdocs\opencart\admin\view\template\catalog\room_form.tpl on line 154
2015-04-30 8:08:39 - PHP Notice:  Undefined variable: price in C:\xampp\htdocs\opencart\admin\view\template\catalog\room_form.tpl on line 160
2015-04-30 8:08:39 - PHP Notice:  Undefined variable: tax_classes in C:\xampp\htdocs\opencart\admin\view\template\catalog\room_form.tpl on line 168
2015-04-30 8:08:39 - PHP Warning:  Invalid argument supplied for foreach() in C:\xampp\htdocs\opencart\admin\view\template\catalog\room_form.tpl on line 168
2015-04-30 8:08:39 - PHP Notice:  Undefined variable: subtract in C:\xampp\htdocs\opencart\admin\view\template\catalog\room_form.tpl on line 201
2015-04-30 8:08:39 - PHP Notice:  Undefined variable: length in C:\xampp\htdocs\opencart\admin\view\template\catalog\room_form.tpl on line 272
2015-04-30 8:08:39 - PHP Notice:  Undefined variable: width in C:\xampp\htdocs\opencart\admin\view\template\catalog\room_form.tpl on line 275
2015-04-30 8:08:39 - PHP Notice:  Undefined variable: height in C:\xampp\htdocs\opencart\admin\view\template\catalog\room_form.tpl on line 278
2015-04-30 8:08:39 - PHP Notice:  Undefined variable: length_classes in C:\xampp\htdocs\opencart\admin\view\template\catalog\room_form.tpl on line 287
2015-04-30 8:08:39 - PHP Warning:  Invalid argument supplied for foreach() in C:\xampp\htdocs\opencart\admin\view\template\catalog\room_form.tpl on line 287
2015-04-30 8:08:39 - PHP Notice:  Undefined variable: weight in C:\xampp\htdocs\opencart\admin\view\template\catalog\room_form.tpl on line 300
2015-04-30 8:08:39 - PHP Notice:  Undefined variable: weight_classes in C:\xampp\htdocs\opencart\admin\view\template\catalog\room_form.tpl on line 307
2015-04-30 8:08:39 - PHP Warning:  Invalid argument supplied for foreach() in C:\xampp\htdocs\opencart\admin\view\template\catalog\room_form.tpl on line 307
2015-04-30 8:08:39 - PHP Notice:  Undefined variable: room_recurrings in C:\xampp\htdocs\opencart\admin\view\template\catalog\room_form.tpl on line 748
2015-04-30 8:08:39 - PHP Warning:  Invalid argument supplied for foreach() in C:\xampp\htdocs\opencart\admin\view\template\catalog\room_form.tpl on line 748
2015-04-30 8:08:39 - PHP Notice:  Undefined variable: recurrings in C:\xampp\htdocs\opencart\admin\view\template\catalog\room_form.tpl on line 1495
2015-04-30 8:08:39 - PHP Warning:  Invalid argument supplied for foreach() in C:\xampp\htdocs\opencart\admin\view\template\catalog\room_form.tpl on line 1495
2015-04-30 8:09:25 - PHP Notice:  Undefined index: weight_class_id in C:\xampp\htdocs\opencart\admin\model\catalog\room.php on line 145
2015-04-30 8:09:25 - PHP Notice:  Undefined index: length_class_id in C:\xampp\htdocs\opencart\admin\model\catalog\room.php on line 145
2015-04-30 8:09:32 - PHP Notice:  Undefined variable: sku in C:\xampp\htdocs\opencart\admin\view\template\catalog\room_form.tpl on line 118
2015-04-30 8:09:32 - PHP Notice:  Undefined variable: upc in C:\xampp\htdocs\opencart\admin\view\template\catalog\room_form.tpl on line 124
2015-04-30 8:09:32 - PHP Notice:  Undefined variable: ean in C:\xampp\htdocs\opencart\admin\view\template\catalog\room_form.tpl on line 130
2015-04-30 8:09:32 - PHP Notice:  Undefined variable: jan in C:\xampp\htdocs\opencart\admin\view\template\catalog\room_form.tpl on line 136
2015-04-30 8:09:32 - PHP Notice:  Undefined variable: isbn in C:\xampp\htdocs\opencart\admin\view\template\catalog\room_form.tpl on line 142
2015-04-30 8:09:32 - PHP Notice:  Undefined variable: mpn in C:\xampp\htdocs\opencart\admin\view\template\catalog\room_form.tpl on line 148
2015-04-30 8:09:32 - PHP Notice:  Undefined variable: location in C:\xampp\htdocs\opencart\admin\view\template\catalog\room_form.tpl on line 154
2015-04-30 8:09:32 - PHP Notice:  Undefined variable: price in C:\xampp\htdocs\opencart\admin\view\template\catalog\room_form.tpl on line 160
2015-04-30 8:09:32 - PHP Notice:  Undefined variable: tax_classes in C:\xampp\htdocs\opencart\admin\view\template\catalog\room_form.tpl on line 168
2015-04-30 8:09:32 - PHP Warning:  Invalid argument supplied for foreach() in C:\xampp\htdocs\opencart\admin\view\template\catalog\room_form.tpl on line 168
2015-04-30 8:09:32 - PHP Notice:  Undefined variable: subtract in C:\xampp\htdocs\opencart\admin\view\template\catalog\room_form.tpl on line 201
2015-04-30 8:09:32 - PHP Notice:  Undefined variable: length in C:\xampp\htdocs\opencart\admin\view\template\catalog\room_form.tpl on line 272
2015-04-30 8:09:32 - PHP Notice:  Undefined variable: width in C:\xampp\htdocs\opencart\admin\view\template\catalog\room_form.tpl on line 275
2015-04-30 8:09:32 - PHP Notice:  Undefined variable: height in C:\xampp\htdocs\opencart\admin\view\template\catalog\room_form.tpl on line 278
2015-04-30 8:09:32 - PHP Notice:  Undefined variable: length_classes in C:\xampp\htdocs\opencart\admin\view\template\catalog\room_form.tpl on line 287
2015-04-30 8:09:32 - PHP Warning:  Invalid argument supplied for foreach() in C:\xampp\htdocs\opencart\admin\view\template\catalog\room_form.tpl on line 287
2015-04-30 8:09:32 - PHP Notice:  Undefined variable: weight in C:\xampp\htdocs\opencart\admin\view\template\catalog\room_form.tpl on line 300
2015-04-30 8:09:32 - PHP Notice:  Undefined variable: weight_classes in C:\xampp\htdocs\opencart\admin\view\template\catalog\room_form.tpl on line 307
2015-04-30 8:09:32 - PHP Warning:  Invalid argument supplied for foreach() in C:\xampp\htdocs\opencart\admin\view\template\catalog\room_form.tpl on line 307
2015-04-30 8:09:32 - PHP Notice:  Undefined variable: room_recurrings in C:\xampp\htdocs\opencart\admin\view\template\catalog\room_form.tpl on line 748
2015-04-30 8:09:32 - PHP Warning:  Invalid argument supplied for foreach() in C:\xampp\htdocs\opencart\admin\view\template\catalog\room_form.tpl on line 748
2015-04-30 8:09:32 - PHP Notice:  Undefined variable: recurrings in C:\xampp\htdocs\opencart\admin\view\template\catalog\room_form.tpl on line 1495
2015-04-30 8:09:32 - PHP Warning:  Invalid argument supplied for foreach() in C:\xampp\htdocs\opencart\admin\view\template\catalog\room_form.tpl on line 1495
2015-04-30 8:09:44 - PHP Notice:  Undefined variable: maps in C:\xampp\htdocs\opencart\catalog\view\theme\default\template\product\search.tpl on line 290
2015-04-30 8:09:44 - PHP Warning:  Invalid argument supplied for foreach() in C:\xampp\htdocs\opencart\catalog\view\theme\default\template\product\search.tpl on line 290
2015-04-30 8:09:44 - PHP Notice:  Undefined variable: map in C:\xampp\htdocs\opencart\catalog\view\theme\default\template\product\search.tpl on line 296
2015-04-30 8:09:44 - PHP Notice:  Undefined variable: map in C:\xampp\htdocs\opencart\catalog\view\theme\default\template\product\search.tpl on line 296
2015-04-30 8:11:00 - PHP Notice:  Undefined variable: sku in C:\xampp\htdocs\opencart\admin\view\template\catalog\room_form.tpl on line 118
2015-04-30 8:11:00 - PHP Notice:  Undefined variable: upc in C:\xampp\htdocs\opencart\admin\view\template\catalog\room_form.tpl on line 124
2015-04-30 8:11:00 - PHP Notice:  Undefined variable: ean in C:\xampp\htdocs\opencart\admin\view\template\catalog\room_form.tpl on line 130
2015-04-30 8:11:00 - PHP Notice:  Undefined variable: jan in C:\xampp\htdocs\opencart\admin\view\template\catalog\room_form.tpl on line 136
2015-04-30 8:11:00 - PHP Notice:  Undefined variable: isbn in C:\xampp\htdocs\opencart\admin\view\template\catalog\room_form.tpl on line 142
2015-04-30 8:11:00 - PHP Notice:  Undefined variable: mpn in C:\xampp\htdocs\opencart\admin\view\template\catalog\room_form.tpl on line 148
2015-04-30 8:11:00 - PHP Notice:  Undefined variable: location in C:\xampp\htdocs\opencart\admin\view\template\catalog\room_form.tpl on line 154
2015-04-30 8:11:00 - PHP Notice:  Undefined variable: price in C:\xampp\htdocs\opencart\admin\view\template\catalog\room_form.tpl on line 160
2015-04-30 8:11:00 - PHP Notice:  Undefined variable: tax_classes in C:\xampp\htdocs\opencart\admin\view\template\catalog\room_form.tpl on line 168
2015-04-30 8:11:00 - PHP Warning:  Invalid argument supplied for foreach() in C:\xampp\htdocs\opencart\admin\view\template\catalog\room_form.tpl on line 168
2015-04-30 8:11:00 - PHP Notice:  Undefined variable: subtract in C:\xampp\htdocs\opencart\admin\view\template\catalog\room_form.tpl on line 201
2015-04-30 8:11:00 - PHP Notice:  Undefined variable: length in C:\xampp\htdocs\opencart\admin\view\template\catalog\room_form.tpl on line 272
2015-04-30 8:11:00 - PHP Notice:  Undefined variable: width in C:\xampp\htdocs\opencart\admin\view\template\catalog\room_form.tpl on line 275
2015-04-30 8:11:00 - PHP Notice:  Undefined variable: height in C:\xampp\htdocs\opencart\admin\view\template\catalog\room_form.tpl on line 278
2015-04-30 8:11:00 - PHP Notice:  Undefined variable: length_classes in C:\xampp\htdocs\opencart\admin\view\template\catalog\room_form.tpl on line 287
2015-04-30 8:11:00 - PHP Warning:  Invalid argument supplied for foreach() in C:\xampp\htdocs\opencart\admin\view\template\catalog\room_form.tpl on line 287
2015-04-30 8:11:00 - PHP Notice:  Undefined variable: weight in C:\xampp\htdocs\opencart\admin\view\template\catalog\room_form.tpl on line 300
2015-04-30 8:11:00 - PHP Notice:  Undefined variable: weight_classes in C:\xampp\htdocs\opencart\admin\view\template\catalog\room_form.tpl on line 307
2015-04-30 8:11:00 - PHP Warning:  Invalid argument supplied for foreach() in C:\xampp\htdocs\opencart\admin\view\template\catalog\room_form.tpl on line 307
2015-04-30 8:11:00 - PHP Notice:  Undefined variable: room_recurrings in C:\xampp\htdocs\opencart\admin\view\template\catalog\room_form.tpl on line 748
2015-04-30 8:11:00 - PHP Warning:  Invalid argument supplied for foreach() in C:\xampp\htdocs\opencart\admin\view\template\catalog\room_form.tpl on line 748
2015-04-30 8:11:00 - PHP Notice:  Undefined variable: recurrings in C:\xampp\htdocs\opencart\admin\view\template\catalog\room_form.tpl on line 1495
2015-04-30 8:11:00 - PHP Warning:  Invalid argument supplied for foreach() in C:\xampp\htdocs\opencart\admin\view\template\catalog\room_form.tpl on line 1495
2015-04-30 8:12:09 - PHP Notice:  Undefined index: download in C:\xampp\htdocs\opencart\system\library\cart.php on line 296
2015-04-30 8:12:18 - PHP Notice:  Undefined index: download in C:\xampp\htdocs\opencart\system\library\cart.php on line 296
2015-04-30 8:18:05 - PHP Notice:  Error: Table 'genuinet_opencart.oc_product_option' doesn't exist<br />Error No: 1146<br />SELECT po.product_option_id, po.option_id, od.name, o.type FROM oc_product_option po LEFT JOIN `oc_option` o ON (po.option_id = o.option_id) LEFT JOIN oc_option_description od ON (o.option_id = od.option_id) WHERE po.product_option_id = '273' AND po.product_id = '124' AND od.language_id = '1' in C:\xampp\htdocs\opencart\system\library\db\mysqli.php on line 40
2015-04-30 8:18:05 - PHP Notice:  Trying to get property of non-object in C:\xampp\htdocs\opencart\system\library\cart.php on line 77
2015-04-30 8:18:05 - PHP Notice:  Error: Table 'genuinet_opencart.oc_product_option' doesn't exist<br />Error No: 1146<br />SELECT po.product_option_id, po.option_id, od.name, o.type FROM oc_product_option po LEFT JOIN `oc_option` o ON (po.option_id = o.option_id) LEFT JOIN oc_option_description od ON (o.option_id = od.option_id) WHERE po.product_option_id = '275' AND po.product_id = '124' AND od.language_id = '1' in C:\xampp\htdocs\opencart\system\library\db\mysqli.php on line 40
2015-04-30 8:18:05 - PHP Notice:  Trying to get property of non-object in C:\xampp\htdocs\opencart\system\library\cart.php on line 77
2015-04-30 8:18:05 - PHP Notice:  Error: Table 'genuinet_opencart.oc_product_option' doesn't exist<br />Error No: 1146<br />SELECT po.product_option_id, po.option_id, od.name, o.type FROM oc_product_option po LEFT JOIN `oc_option` o ON (po.option_id = o.option_id) LEFT JOIN oc_option_description od ON (o.option_id = od.option_id) WHERE po.product_option_id = '274' AND po.product_id = '124' AND od.language_id = '1' in C:\xampp\htdocs\opencart\system\library\db\mysqli.php on line 40
2015-04-30 8:18:05 - PHP Notice:  Trying to get property of non-object in C:\xampp\htdocs\opencart\system\library\cart.php on line 77
2015-04-30 8:18:05 - PHP Notice:  Error: Table 'genuinet_opencart.oc_product_option' doesn't exist<br />Error No: 1146<br />SELECT po.product_option_id, po.option_id, od.name, o.type FROM oc_product_option po LEFT JOIN `oc_option` o ON (po.option_id = o.option_id) LEFT JOIN oc_option_description od ON (o.option_id = od.option_id) WHERE po.product_option_id = '0' AND po.product_id = '124' AND od.language_id = '1' in C:\xampp\htdocs\opencart\system\library\db\mysqli.php on line 40
2015-04-30 8:18:05 - PHP Notice:  Trying to get property of non-object in C:\xampp\htdocs\opencart\system\library\cart.php on line 77
2015-04-30 8:18:05 - PHP Notice:  Error: Table 'genuinet_opencart.oc_product_option' doesn't exist<br />Error No: 1146<br />SELECT po.product_option_id, po.option_id, od.name, o.type FROM oc_product_option po LEFT JOIN `oc_option` o ON (po.option_id = o.option_id) LEFT JOIN oc_option_description od ON (o.option_id = od.option_id) WHERE po.product_option_id = '0' AND po.product_id = '124' AND od.language_id = '1' in C:\xampp\htdocs\opencart\system\library\db\mysqli.php on line 40
2015-04-30 8:18:05 - PHP Notice:  Trying to get property of non-object in C:\xampp\htdocs\opencart\system\library\cart.php on line 77
2015-04-30 8:18:05 - PHP Notice:  Error: Table 'genuinet_opencart.oc_product_option' doesn't exist<br />Error No: 1146<br />SELECT po.product_option_id, po.option_id, od.name, o.type FROM oc_product_option po LEFT JOIN `oc_option` o ON (po.option_id = o.option_id) LEFT JOIN oc_option_description od ON (o.option_id = od.option_id) WHERE po.product_option_id = '0' AND po.product_id = '124' AND od.language_id = '1' in C:\xampp\htdocs\opencart\system\library\db\mysqli.php on line 40
2015-04-30 8:18:05 - PHP Notice:  Trying to get property of non-object in C:\xampp\htdocs\opencart\system\library\cart.php on line 77
2015-04-30 8:18:05 - PHP Notice:  Error: Table 'genuinet_opencart.oc_product_option' doesn't exist<br />Error No: 1146<br />SELECT po.product_option_id, po.option_id, od.name, o.type FROM oc_product_option po LEFT JOIN `oc_option` o ON (po.option_id = o.option_id) LEFT JOIN oc_option_description od ON (o.option_id = od.option_id) WHERE po.product_option_id = '0' AND po.product_id = '124' AND od.language_id = '1' in C:\xampp\htdocs\opencart\system\library\db\mysqli.php on line 40
2015-04-30 8:18:05 - PHP Notice:  Trying to get property of non-object in C:\xampp\htdocs\opencart\system\library\cart.php on line 77
2015-04-30 8:19:53 - PHP Notice:  Undefined variable: room_id in C:\xampp\htdocs\opencart\system\library\cart.php on line 75
2015-04-30 8:19:53 - PHP Notice:  Undefined variable: room_id in C:\xampp\htdocs\opencart\system\library\cart.php on line 75
2015-04-30 8:19:53 - PHP Notice:  Undefined variable: room_id in C:\xampp\htdocs\opencart\system\library\cart.php on line 75
2015-04-30 8:19:53 - PHP Notice:  Undefined variable: room_id in C:\xampp\htdocs\opencart\system\library\cart.php on line 75
2015-04-30 8:19:53 - PHP Notice:  Undefined variable: room_id in C:\xampp\htdocs\opencart\system\library\cart.php on line 75
2015-04-30 8:19:54 - PHP Notice:  Undefined variable: room_id in C:\xampp\htdocs\opencart\system\library\cart.php on line 75
2015-04-30 8:19:54 - PHP Notice:  Undefined variable: room_id in C:\xampp\htdocs\opencart\system\library\cart.php on line 75
2015-04-30 8:35:49 - PHP Notice:  Undefined variable: room_recurrings in C:\xampp\htdocs\opencart\admin\view\template\catalog\room_form.tpl on line 569
